"region","avg_PM2.5"
"Beijing",34.7767827327646
"Tianjin",40.8799948500667
"Hebei",42.0096853219581
"Shanxi",41.5724195371293
"Nei Mongol",28.5503133776328
"Liaoning",35.0540832051722
"Jilin",28.0383722537968
"Heilongjiang",26.5117756697939
"Shanghai",26.9914939865674
"Jiangsu",32.3299990832944
"Zhejiang",24.4260878180233
"Anhui",35.0807380236834
"Fujian",20.7088195681325
"Jiangxi",27.7107985622754
"Shandong",39.1444493347593
"Henan",46.5805752394699
"Hubei",35.6173149956015
"Hunan",34.5280876129144
"Guangdong",21.5716472019419
"Guangxi",27.9223384230905
"Hainan",13.7286289026566
"Chongqing",32.5921671490593
"Sichuan",32.774185476675
"Guizhou",23.4328139378374
"Yunnan",22.1821252488543
NA,10.1200389489637
"Shaanxi",38.8305163910063
"Gansu",29.4095374075657
"Qinghai",25.2328322377822
"Ningxia Hui",34.4651051784426
"Xinjiang Uygur",43.3400721708929
"",NA
